feature,mean_abs_shap
player_name,1.9080777937462081
apg,1.591044932076532
id,0.6084578388163795
red_cards,0.17525256403819708
xA,0.09843233380183299
shots,0.05298977661271746
time,0.02688016285437556
position,0.02421379039982979
aGg,0.01771237187262743
xGChain,0.013649108559729471
yellow_cards,0.010136792593571685
xGBuildup,0.0077585087612436834
npxG,0.006332426942741929
season,0.002185643733602061
gpm,0.0018386253710281596
team_title,0.0016988093258108808
assists,0.0004367590824704516
league,0.00019715392283746014
npg,0.00015330325055272
league_weight,9.663321557326144e-05
key_passes,0.0
goals,0.0
games,0.0
apm,0.0
shpg,0.0
shpm,0.0
kppg,0.0
kppm,0.0
ypg,0.0
ypm,0.0
rpg,0.0
rpm,0.0
xGdiff,0.0
xGg,0.0
